PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,WikiId,Name_wiki,Age_wiki,Hometown,Boarded,Destination,Lifeboat,Body,Class
18,1.0,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,13.0,,S,604.0,"Williams, Mr. Charles Eugene",23.0,"Harrow, London, England",Southampton,"Chicago, Illinois, US",14,,2.0
22,1.0,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,D56,S,346.0,"Beesley, Mr. Lawrence",34.0,"London, England, UK",Southampton,"Toronto, Ontario, Canada",13,,2.0
24,1.0,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,A6,S,261.0,"Sloper, Mr. William Thompson",28.0,"New Britain, Connecticut, US",Southampton,"New Britain, Connecticut, US",7,,1.0
37,1.0,3,"Mamee, Mr. Hanna",male,,0,0,2677,7.2292,,C,998.0,"Mamee, Mr. Hanna",20.0,"Tripoli, Lebanon",Cherbourg,"Philadelphia, Pennsylvania, US",15,,3.0
56,1.0,1,"Woolner, Mr. Hugh",male,,0,0,19947,35.5,C52,S,324.0,"Woolner, Mr. Hugh",45.0,"London, England, UK",Southampton,"New York, New York, US",D,,1.0
66,1.0,3,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,,C,1045.0,"Mubarik, Master Gerios",7.0,"Hardîne, Lebanon",Cherbourg,"Houtzdale, Pennsylvania, US",C,,3.0
75,1.0,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,,S,960.0,"Lee, Mr. Bing",32.0,"Hong Kong, China",Southampton,New York City,C,,3.0
79,1.0,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29.0,,S,366.0,"Caldwell, Master Alden Gates",0.83,"Bangkok, Siam",Southampton,"Roseville, Illinois, US",13,,2.0
82,1.0,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,9.5,,S,1199.0,"Scheerlinck, Mr. Jean Baptiste",29.0,"Haaltert, East Flanders, Belgium",Southampton,"Detroit, Michigan, US",11,,3.0
98,1.0,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759,63.3583,D10 D12,C,140.0,"Greenfield, Mr. William Bertram",23.0,"New York, New York, US",Cherbourg,"New York, New York, US",7,,1.0
108,1.0,3,"Moss, Mr. Albert Johan",male,,0,0,312991,7.775,,S,1041.0,"Moss, Mr. Albert Johan",29.0,"Bergen, Norway",Southampton,New York City,B,,3.0
126,1.0,3,"Nicola-Yarred, Master. Elias",male,12.0,1,0,2651,11.2417,,C,1072.0,"Niqula-Yarid, Master Ilyas",12.0,"El-Hakour, Lebanon",Cherbourg,"Jacksonville, Florida, US",C,,3.0
128,1.0,3,"Madsen, Mr. Fridtjof Arne",male,24.0,0,0,C 17369,7.1417,,S,993.0,"Madsen, Mr. Fridtjof Arne",24.0,"Trondheim, Norway",Southampton,"Brooklyn, New York, US",13,,3.0
147,1.0,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0,0,350043,7.7958,,S,1293.0,"Wennerström, Mr. August Edvard Andersson",27.0,"Malmö, Skåne, Sweden",Southampton,"Chicago, Illinois, US",A,,3.0
166,1.0,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,0,2,363291,20.525,,S,829.0,"Goldsmith, Master Frank John William",9.0,"Strood, Kent, England",Southampton,"Detroit, Michigan, US",C,,3.0
184,1.0,2,"Becker, Master. Richard F",male,1.0,2,1,230136,39.0,F4,S,345.0,"Becker, Master Richard Frederick",1.0,"Guntur, Madras Province, British India",Southampton,"Benton Harbor, Michigan, US",11,,2.0
188,1.0,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,0,0,111428,26.55,,S,238.0,"Romaine, Mr. Charles Hallance (alias C. Rolmane)",45.0,"New York, New York, US",Southampton,"New York, New York, US",9,,1.0
194,1.0,2,"Navratil, Master. Michel M",male,3.0,1,1,230080,26.0,F2,S,522.0,"Navratil, Master Michel Marcel",3.0,"Nice, France",Southampton,New York City,D,,2.0
205,1.0,3,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0,0,A/5 3540,8.05,,S,727.0,"Cohen, Mr. Gershon ""Gus""",18.0,"London, England",Southampton,"Brooklyn, New York, US",12,,3.0
